street_address,city,postal_code,price,longitude,latitude,rental_type,bedrooms,bathrooms,sqft,description_text,year_built,parking_spots
77 Harbour Square,Toronto,M5J 2S2,2750.0,-79.3793463,43.6395107,Accommodation,1.0,1.0,,,,
168 King Street East,Toronto,M5A 4S4,1975.0,-79.3711222,43.6506965,Accommodation,1.0,1.0,,,,
4K Spadina,Toronto,M5V 3Y9,2400.0,-79.39398299999999,43.6409222,Accommodation,2.0,2.0,,,,
2910 Highway 7,Vaughan,L4K 0H8,2500.0,-79.5206822,43.7957918,Accommodation,2.0,2.0,,,,
381 Front Street West,Toronto,M5V 3R8,2400.0,-79.39275959999999,43.64277999999999,Accommodation,2.0,1.0,,,,
120 Parliament Street,Toronto,M5A 2Y8,3900.0,-79.3638934,43.6539272,Accommodation,,,,,,
30 Harrison Garden Boulevard,North York,M2N 7A9,2250.0,-79.4086248,43.75655649999999,Accommodation,2.0,2.0,,,,
93 Cedarcrest Boulevard,East York,M4B 2P4,1950.0,-79.3005111,43.7057443,Accommodation,2.0,1.0,,,,
28 Fairbank,York,M6E 3Y4,1400.0,-79.4534142,43.6960043,Accommodation,1.0,1.0,,,,
629 King Street West,Toronto,M5G 0G9,1995.0,-79.40149799999999,43.6439831,Accommodation,1.0,1.0,,,,
38 Elm Street,Toronto,M5G 2K5,2225.0,-79.38364,43.6575994,Accommodation,1.0,1.0,,,,
120 Homewood,Toronto,M4Y 2J3,1875.0,-79.3763862,43.66703,Accommodation,1.0,1.0,,,,
20 Blue Jays Way,Toronto,M5V 3W6,2900.0,-79.391824,43.6438459,Accommodation,3.0,2.0,,,,
30 Meadowglen Place,Scarborough,M1G 0A7,2350.0,-79.2304162,43.7747953,Accommodation,3.0,2.0,,,,
155 Beecroft Road,North York,M2N 7C6,1950.0,-79.4135938,43.7655711,Accommodation,1.0,1.0,,,,
45 Charles Street East,Toronto,M4Y 0B8,2750.0,-79.3839957,43.6687178,Accommodation,2.0,2.0,,,,
16 Bonnycastle Street,Toronto,M5A 4M6,2500.0,-79.3650321,43.6461433,Accommodation,2.0,1.0,,,,
38 Cameron Street,Toronto,M5T 0C3,2350.0,-79.3982022,43.6496963,Accommodation,2.0,2.0,,,,
306 Cook Road,North York,M3J 0C2,650.0,-79.4996999,43.7676396,Accommodation,1.0,1.0,,,,
90 Dale,Scarborough,M1J 3N4,2400.0,-79.20418169999999,43.7525114,Accommodation,2.0,2.0,,,,
15 Brunel Court,Toronto,M5V 3Y6,1980.0,-79.3933551,43.6399209,Accommodation,2.0,1.0,,,,
736 Spadina,Toronto,M5S 2J6,2960.0,-79.40349049999999,43.6658354,Accommodation,2.0,2.0,,,,
8 The Esplanade,Toronto,M5E 0A6,2300.0,-79.3764182,43.6461582,Accommodation,1.0,1.0,,,,
1 Yorkville,Toronto,M4W 1L1,3800.0,-79.38763260000002,43.6718005,Accommodation,2.0,2.0,,,,
892 College Street,Toronto,M6H 1A4,2850.0,-79.4254176,43.6539896,Apartment,2.0,1.0,,,,
1 Edgewater Drive,Toronto,M5A 0L1,3000.0,-79.3631144,43.6449878,Accommodation,2.0,2.0,,,,
832 Bay Street,Toronto,M5S 1Z6,2690.0,-79.3865112,43.661927,Accommodation,2.0,2.0,,,,
19 Brant Street,Toronto,M5V 2L2,2500.0,-79.3975815,43.6456962,Accommodation,2.0,1.0,,,,
85 Wood Street,Toronto,M4Y 0E8,2650.0,-79.37934609999999,43.6627357,Accommodation,3.0,2.0,,,,
188 Cumberland Street,Toronto,M5R 2G3,4250.0,-79.3942951,43.6697824,Accommodation,3.0,2.0,,,,
628 Fleet Street,Toronto,M5V 1A8,2400.0,-79.40330039999999,43.6361646,Accommodation,2.0,1.0,,,,
29 Singer Court,North York,M2K 0B3,2100.0,-79.3686871,43.7690944,Accommodation,2.0,1.0,,,,
15 Zorra Street,Etobicoke,M8Z 0C1,2800.0,-79.5210872,43.621354,Accommodation,3.0,2.0,,,,
50 Charles Street East,Toronto,M4Y 1T1,2450.0,-79.3837757,43.6695496,Accommodation,2.0,1.0,,,,
29 Singer Court,North York,M2K 0B4,1900.0,-79.3686871,43.7690944,Accommodation,2.0,1.0,,,,
375 King Street West,Toronto,M5V 1K1,2350.0,-79.3929534,43.645641,Accommodation,2.0,1.0,,,,
110 Marine Parade Drive,Etobicoke,M8V 0B9,2195.0,-79.4779028,43.6252596,Accommodation,2.0,1.0,,,,
637 Lake Shore Boulevard West,Toronto,M5V 3J6,2175.0,-79.40194819999999,43.6351391,Accommodation,1.0,1.0,,,,
60 Ann O&#39;reilly Road,North York,M2J 0A8,1960.0,-79.32929399999999,43.7741227,Accommodation,2.0,1.0,,,,
50 Lynn Williams Street,Toronto,M6K 3R9,2300.0,-79.4151842,43.6395116,Accommodation,1.0,2.0,,,,
8 Mercer Street,Toronto,M5V 0C4,2200.0,-79.38990849999999,43.6460058,Accommodation,2.0,1.0,,,,
126 Simcoe Street,Toronto,M5H 4E6,2600.0,-79.3872946,43.64897269999999,Accommodation,2.0,1.0,,,,
1 Carling,Toronto,M6G 3R9,1975.0,-79.4246307,43.6626421,Accommodation,1.0,1.0,,,,
235 Sherway Gardens,Etobicoke,M9C 0A2,2500.0,-79.558998,43.6092614,Accommodation,2.0,2.0,,,,
38 Via Torre Drive,North York,M6M 5J8,2800.0,-79.5002003,43.6964143,Accommodation,4.0,3.0,,,,
775 King Street West,Toronto,M5V 2K3,2100.0,-79.406201,43.643012,Accommodation,1.0,1.0,,,,
525 Wilson,North York,M3H 1V1,2600.0,-79.4461486,43.73375890000001,Accommodation,2.0,2.0,,,,
30 Shore Breeze Drive,Etobicoke,M8V 0J1,2300.0,-79.4799347,43.6237761,Accommodation,1.0,1.0,,,,
20 Olive,North York,M2N 7G5,2350.0,-79.41451459999999,43.7791641,Accommodation,2.0,1.0,,,,
763 Bay Street,Toronto,M5G 2R3,2600.0,-79.3851875,43.6599441,Accommodation,2.0,2.0,,,,
36 Massey Street,Toronto,M6J 3T7,3300.0,-79.413313,43.642962,Accommodation,2.0,3.0,,,,
30 Haven Hill Square,Scarborough,M1V 1M5,2800.0,-79.2880103,43.8088253,Accommodation,5.0,3.0,,,,
15 Grenville Street,Toronto,M4Y 1A1,2399.0,-79.3841302,43.6618822,Accommodation,1.0,1.0,,,,
22 Woolton Crescent,North York,M6M 4K9,2500.0,-79.4860976,43.700146,Accommodation,2.0,1.0,,,,
318 King Street East,Toronto,M5A 1K6,1900.0,-79.36372229999999,43.6525725,Accommodation,1.0,1.0,,,,
1 Market Street,Toronto,M5E 0A2,2600.0,-79.3710777,43.6468736,Accommodation,2.0,1.0,,,,
1131 Steeles West,North York,M2R 3W8,2850.0,-79.4507869,43.7907034,Accommodation,2.0,2.0,,,,
717 Bay Street,Toronto,M5G 2J9,2450.0,-79.3846552,43.6588362,Accommodation,2.0,1.0,,,,
81 Navy Wharf Court,Toronto,M5V 3S2,2800.0,-79.39144569999999,43.6413655,Accommodation,3.0,2.0,,,,
169 O&#39;connor Drive,East York,M4J 2S7,2095.0,-79.3474773,43.6935792,Accommodation,2.0,1.0,,,,
88 Scott Street,Toronto,M5E 0A9,2250.0,-79.37660129999999,43.6483688,Accommodation,1.0,1.0,,,,
280 Simcoe Street East,Toronto,M5T 2Y5,3500.0,-79.3896383,43.6551804,Accommodation,2.0,2.0,,,,
3 Caines,North York,M2M 1G1,6000.0,-79.429699,43.7853476,Accommodation,7.0,4.0,,,,
386 Yonge Street,Toronto,M5B 0A5,3000.0,-79.38354009999999,43.659127,Accommodation,2.0,2.0,,,,
65 St Mary Street,Toronto,M5S 0A6,5500.0,-79.3891532,43.66721090000001,Accommodation,3.0,2.0,,,,
14 York Street,Toronto,M5J 2Z2,2200.0,-79.3822455,43.6418503,Accommodation,2.0,1.0,,,,
31 Bales,North York,M2N 7L6,1920.0,-79.4088886,43.7601326,Accommodation,1.0,1.0,,,,
1110 45 Charles Street E,Toronto,M4Y 0A2,2300.0,-79.3839957,43.6687178,Accommodation,1.0,2.0,,,,
460 Adelaide Street East,Toronto,M5A 0E7,2400.0,-79.3664874,43.6527699,Accommodation,2.0,2.0,,,,
105 The Queensway,Toronto,M6G 5B5,2350.0,-79.470781,43.6360574,Accommodation,2.0,1.0,,,,
41 Austin,Toronto,M4M 1V7,3300.0,-79.4147107,43.6782299,Accommodation,3.0,1.0,,,,
750 Bay Street,Toronto,M5G 1N6,3000.0,-79.3857791,43.6597371,Accommodation,2.0,2.0,,,,
15 Merchants&#39; Wharf Street,Toronto,M5A 4K9,2100.0,-79.3645226,43.6451103,Accommodation,2.0,1.0,,,,
79 Wallasey,North York,M9M 1E3,2100.0,-79.5309544,43.720106,Accommodation,2.0,1.0,,,,
337 Winona Drive,York,M6C 3T2,5500.0,-79.4338298,43.6857949,Accommodation,4.0,2.0,,,,
7895 Jane Street,Vaughan,L4K 2M7,1750.0,-79.52467560000001,43.7983558,Accommodation,1.0,1.0,,,,
175 Queens Drive,York,M9N 2H5,1550.0,-79.5103919,43.7060627,Apartment,1.0,1.0,,,,
65 Bremner Boulevard,Toronto,M5J 0A7,3000.0,-79.3806728,43.6428695,Accommodation,3.0,2.0,,,,
197 Crawford Street,Toronto,M6J 2V5,2200.0,-79.415966,43.6478287,Accommodation,1.0,1.0,,,,
3 Rean Drive,North York,M2K 3C2,2550.0,-79.383017,43.7653793,Accommodation,2.0,2.0,,,,
197 Yonge Street,Toronto,M5B 1M4,1980.0,-79.3792385,43.6535246,Accommodation,2.0,1.0,,,,
2900 Highway 7 Road,Vaughan,L4K 1W8,2500.0,-79.5204672,43.795786,Accommodation,2.0,2.0,,,,
200 Manitoba Street,Etobicoke,M8Y 3Y9,2300.0,-79.4910123,43.6243998,Accommodation,2.0,2.0,,,,
279 Deloraine,Toronto,M5M 2B2,6850.0,-79.4145882,43.7316828,Accommodation,4.0,5.0,,,,
225 Davenport Road,Toronto,M5R 3R2,2555.0,-79.3958601,43.6747205,Accommodation,2.0,1.0,,,,
50 Bruyeres Mews,Toronto,M5V 0G7,2000.0,-79.40249399999999,43.63766409999999,Accommodation,2.0,1.0,,,,
25 Town Centre Court,Scarborough,M1P 0B4,2000.0,-79.2544409,43.7733252,Accommodation,2.0,1.0,,,,
16 Fennings Street,Toronto,M6J 3B8,4995.0,-79.4216782,43.644413,Accommodation,3.0,3.0,,,,
5940 Yonge Street,North York,M2M 3V9,2500.0,-79.41812279999999,43.787401,Accommodation,3.0,2.0,,,,
436 Wellington Street West,Toronto,M5V 1E3,3300.0,-79.3968907,43.6437502,Accommodation,1.0,1.0,,,,
65 St Mary Street,Toronto,M5S 0A6,2350.0,-79.3891532,43.66721090000001,Accommodation,2.0,1.0,,,,
100 Harbour Street,Toronto,M5J 2T5,2800.0,-79.3797532,43.6417752,Accommodation,2.0,2.0,,,,
14 York Street,Toronto,M5J 2Z2,1900.0,-79.3822455,43.6418503,Accommodation,2.0,1.0,,,,
7 Bishop,North York,M2M 4J4,1980.0,-79.41438529999999,43.7816907,Accommodation,2.0,1.0,,,,
92 Caledonia Park Road,Toronto,M6H 0B1,1875.0,-79.4538688,43.6738389,Accommodation,1.0,1.0,,,,
1 Market Street,Toronto,M5E 0A2,3800.0,-79.3710777,43.6468736,Accommodation,2.0,2.0,,,,
2900 Highway 7 Road,Vaughan,L4K 0G3,2400.0,-79.5204672,43.795786,Accommodation,2.0,2.0,,,,
1 Hurontario Street,Mississauga,L5G 3G8,2700.0,-79.5822045,43.5559833,Accommodation,2.0,2.0,,,,
1364 Woodbine,East York,M4C 4G5,2750.0,-79.3179376,43.6968846,Accommodation,2.0,2.0,,,,
161 Roehampton,Toronto,M4P 1P9,1900.0,-79.3937953,43.70875849999999,Accommodation,2.0,1.0,,,,
181 Dundas Street East,Toronto,M5A 0N5,2300.0,-79.3741052,43.657011,Accommodation,2.0,1.0,,,,
12 Ashmore,Etobicoke,M8Z 4C4,3300.0,-79.51030399999999,43.6263868,Accommodation,4.0,2.0,,,,
55 Ann O&#39;reilly Road,North York,M2J 0E1,1950.0,-79.3293592,43.7739128,Accommodation,2.0,1.0,,,,
38 Grenville Street,Toronto,M4Y 1A5,3100.0,-79.3857479,43.6618956,Accommodation,3.0,2.0,,,,
403 Church Street,Toronto,M4Y 0C9,2600.0,-79.3791622,43.6620699,Accommodation,2.0,1.0,,,,
161 Roehampton,Toronto,M4P 0C8,5000.0,-79.3937953,43.70875849999999,Accommodation,4.0,3.0,,,,
2 Maison Parc Court,Vaughan,,2500.0,-79.4698643,43.7896675,Accommodation,2.0,2.0,,,,
770 Bay Street,Toronto,M5G 1N6,2800.0,-79.3858692,43.6601367,Accommodation,2.0,2.0,,,,
75 East Liberty Street,Toronto,M6K 0A2,2275.0,-79.41478579999999,43.6383068,Accommodation,2.0,1.0,,,,
11 Brunel Court,Toronto,M5V 3Y3,3000.0,-79.3932324,43.6394055,Accommodation,3.0,2.0,,,,
1603 Eglinton West,York,M6E 2H1,1881.0,-79.4430945,43.6969107,Accommodation,2.0,1.0,,,,
1030 King Street West,Toronto,M6K 3N3,2200.0,-79.4159028,43.641579,Accommodation,1.0,1.0,,,,
92 Roxborough Street West,Toronto,M5R 1V1,1750.0,-79.3942671,43.6774856,Accommodation,1.0,1.0,,,,
1 Belsize Drive,Toronto,M4S 0B9,2250.0,-79.3967224,43.7002242,Accommodation,1.0,1.0,,,,
365 Church Street,Toronto,M5B 1Z9,2150.0,-79.37875559999999,43.660846,Accommodation,2.0,1.0,,,,
20 Blue Jays Way,Toronto,M5V 3W6,2900.0,-79.391824,43.6438459,Accommodation,2.0,2.0,,,,
188 Cumberland Street,Toronto,M5R 2G3,3800.0,-79.3942951,43.6697824,Accommodation,2.0,2.0,,,,
300 Front Street,Toronto,M5V 0E9,2075.0,-79.38942089999999,43.6441737,Accommodation,2.0,1.0,,,,
81 Navy Wharf Court,Toronto,M5V 3S2,3200.0,-79.39144569999999,43.6413655,Accommodation,3.0,2.0,,,,
100 New Park Place,Vaughan,L4K 0J3,2350.0,-79.5289926,43.7949934,Accommodation,2.0,2.0,,,,
70 Town Centre Court,Scarborough,M1P 4Y7,2050.0,-79.2554225,43.7736875,Accommodation,2.0,1.0,,,,
388 Richmond Street West,Toronto,M5V 3R1,2450.0,-79.3947836,43.6481726,Accommodation,1.0,1.0,,,,
19 Charlton Boulevard,North York,M2M 1C1,4500.0,-79.4247755,43.7827907,Accommodation,5.0,6.0,,,,
109 Front Street East,Toronto,M5A 4P7,2900.0,-79.3709124,43.6493411,Accommodation,2.0,2.0,,,,
295 Adelaide Street,Toronto,M5V 1P7,2000.0,-79.3904081,43.6476273,Accommodation,1.0,1.0,,,,
46 Wedgewood Drive,North York,M2M 2H5,1450.0,-79.413308,43.7898909,Accommodation,1.0,1.0,,,,
20 John Street,Toronto,M5V 0G5,1900.0,-79.3891859,43.644515,Accommodation,1.0,1.0,,,,
4968 Yonge Street,North York,,3000.0,-79.41236219999999,43.7653137,Accommodation,2.0,2.0,,,,
11 Lee Centre Drive,Scarborough,M1H 3J5,2350.0,-79.2449316,43.7816784,Accommodation,2.0,2.0,,,,
15 Zorra Street,Etobicoke,M8Z 0C1,2000.0,-79.5210872,43.621354,Accommodation,1.0,1.0,,,,
365 Church Street,Toronto,M5B 1Z9,1800.0,-79.37875559999999,43.660846,Accommodation,1.0,1.0,,,,
231 Christie Street,Toronto,M6G 3B5,1800.0,-79.4204611,43.6695047,Accommodation,2.0,2.0,,,,
Charming Loft Apartment,Toronto,M6P 2K5,2100.0,-79.4633127,43.6629831,Apartment,,,,,,
GREAT DEAL - Jr. 1 Bedroom @ College &amp; Jarvis,Toronto,M5A 3W7,1659.0,-79.375154,43.6631087,Apartment,1.0,1.0,800.0,"Virtual Tour: https://youriguide.com/916_140_carlton_st_toronto_on Large windows with tons of natural night Great building amenities including a pool, basketball court, squash court, sauna, GYM and more 24 hours security gourd. In the heart of Downtown Toronto's vibrant Cabbage Town. Walking distance to subway, & amazing shops & restaurants Book a viewing or apply at the following URL: https://wjproperties.rhenti.com/#/property/5e8c94f68844810031444f4d Apply online - https://rentcafe.wjproperties.ca/apartments/on/toronto/140-carlton/availableunits.asp",,
22 Woolton Crescent,North York,M6M 4K9,2200.0,-79.4860976,43.700146,Accommodation,2.0,1.0,,,,
333 Rimilton Avenue,Etobicoke,M8W 2E5,2550.0,-79.5312982,43.60702500000001,Accommodation,3.0,1.0,,,,
159 Dundas Street East,Toronto,M5B 0A9,2480.0,-79.3750924,43.6568058,Accommodation,2.0,2.0,,,,
224 King Street West,Toronto,M5H 1K4,1950.0,-79.3873347,43.6475242,Accommodation,1.0,1.0,,,,
Victoria Park Apartments,Toronto,M1R 1S1,1735.0,-79.30804,43.73965,Apartment,1.0,1.0,,,,
181 Dundas Street East,Toronto,M5A 1Z4,1800.0,-79.3741052,43.657011,Accommodation,,,,,,
Cleta Drive,Scarborough,M1K,1600.0,-79.2604755,43.718479,Accommodation,2.0,1.0,800.0,"Close to All Amenities: Kennedy and Eglinton, Available From: August 01,2020\n\nStay Private, Safe and Clean in a homely environment. Fully Renovated Basement Apartment for Rent: 2 Bedrooms.\n\n\u00b7        Close to Kennedy Subway Station, GO, TTC, Mall, Groceries, Tim Horton\u2019s, No Frills, Shoppers, Walmart, Costco, School, Worship places etc.\n\n\u00b7        Kennedy Subway Station 10 Mins Walk, TTC stop 2 Mins and 30 mins to Downtown.\n\n\u00b7        New Floor, Full basement with Big High Ceiling Rooms with big windows and full sunlight.\n\n\u00b7        Kitchen also spacious with room to place dinning table and lots of cabinets.\n\n\u00b7        Laundry on site and parking available.\n\n\u00b7        Walking distance to school.\n\n\u00b7        Convenient Walkout Private Side Entrance directly from Driveway.\n\n\u00b7        Located on Quiet Street in a desirable area, Nice Kennedy Park Neighborhood\n\n\u00b7        All 5 Windows are above ground level with Natural Light\n\n\u00b7        Spacious rooms/kitchen and 3 closets/mirror. \n\n\u00b7        Non-Smoking, No Pets Friendly, Non-Party Friendly.\n\n\u00b7        24/7 Security Surveillance Camera\n\n\u00b7        Rent: $1,600 +shared utilities depend on No. of people. Great for a working couple. Please Reply/Call/Text if you have any questions. Please leave Message with your brief information to get quick response in case I can't receive the phone. Tel:647-556-6515.\n\n\u00b7        Available from August 01,2020, Saturday\n\n\u00b7        Required: Job Letter and Good Credit Score/References\n\nIf the ad is up, it's available. PLEASE CONTACT WITH BRIEF of your job, status, who will be living etc. to get quick response.\n\n    Thanks for viewing.",,
80 Withrow Avenue,Toronto,M4K 1C9,2000.0,-79.3493609,43.6707286,Accommodation,1.0,1.0,400.0,"Bright walk-out basement STUDIO Apartment with personal deck and shared use of yard. All-inclusive. Beautifully renovated with hardwood floors, exposed brick walls, tiled shower, new kitchen cabinets and dishwasher. Partially furnished but flexible.  \n\nThis Riverdale apt. is steps away from 2 beautiful parks (Riverdale East and Withrow). Close to all amenities including Withrow Public School, TTC (504&505 streetcars), grocery stores, outdoor pool, tennis courts, sports fields and stunning views of the Toronto skyline. TTC stops at the end of the street and Broadview station is a short walk away. Enjoy easy access to the Don Valley Parkway and the Gardiner Expressway.",2020,None
251 Jarvis Street,Toronto,M5B 2C2,2050.0,-79.3742424,43.657492,Accommodation,,,,,,
115 Blue Jays Way,Toronto,M5V 0L7,1850.0,-79.392123,43.64598110000001,Accommodation,1.0,1.0,,,,
60 Town Centre Court,Scarborough,M1P 0B1,1899.0,-79.2561489,43.77334440000001,Accommodation,1.0,1.0,650.0,"Available for rent starting July 1, 2020. \n\n60 Town Centre Court: Steps away from Scarborough Town Centre.\n\nBeautiful large one bedroom condo with underground parking spot. The unit also includes a spacious balcony accessible through the bedroom and living room with a great view of the entire complex facing in an east direction. \n\nThe kitchen includes granite countertop with laminate flooring through the unit. The bedroom is carpeted and comes with a walk-in closet.\n\nThe unit is in a very clean condition. Water and heat included. Tenant pays for hydro.\n\nNote: Hassle-free direct communication with owner (no involvement with real estate/sales agents or property management firms).\n\nWalking distance to:\n\nSupermarkets: Loblaws Supercentre, Walmart, Freshco.\n\nRestaurants \n\nTransit: TTC, Scarborough Rapid Transit, Go Bus\n\nCondo also includes the following amenities - Party / Meeting Room - Yoga / Pilates Room - Media Room - Fitness Centre - Guest suites - Concierge Service and 24/7 Security\n\nOther details:\n\n\\- Minimum 1 year lease agreement\n\n\\- Proof of income/credit check \n\n\\- Reference letter",,
265 Augusta Avenue,Toronto,M5T 1M2,2650.0,-79.4022042,43.6555944,Apartment,2.0,1.0,,,,
2 Eva Road,Etobicoke,M9C 0A9,2200.0,-79.5627389,43.640566,Accommodation,2.0,2.0,,,,
650 Queen Street West,Toronto,M6J 1E4,2100.0,-79.4064085,43.6469333,Accommodation,,,,,,
14 York Street,Toronto,M5J 0B1,2000.0,-79.3822455,43.6418503,Accommodation,1.0,1.0,,,,
1 Market Street,Toronto,M5E 0A2,2000.0,-79.3710777,43.6468736,Accommodation,,,,,,
125 Redpath Avenue,Toronto,M4S 0B5,1950.0,-79.3923069,43.7076691,Accommodation,,,,,,
